ep=0 phase=boundary train_loss=0.192 train_acc=0.957 eval_loss=0.125 eval_acc=0.963 elapsed=129
ep=1 phase=boundary train_loss=0.151 train_acc=0.960 eval_loss=0.103 eval_acc=0.968 elapsed=130
ep=2 phase=boundary train_loss=0.138 train_acc=0.962 eval_loss=0.093 eval_acc=0.970 elapsed=131
ep=3 phase=boundary train_loss=0.130 train_acc=0.964 eval_loss=0.087 eval_acc=0.972 elapsed=130
ep=4 phase=boundary train_loss=0.125 train_acc=0.965 eval_loss=0.083 eval_acc=0.973 elapsed=130
ep=5 phase=boundary train_loss=0.120 train_acc=0.965 eval_loss=0.080 eval_acc=0.974 elapsed=131
ep=6 phase=boundary train_loss=0.117 train_acc=0.966 eval_loss=0.077 eval_acc=0.975 elapsed=130
ep=7 phase=boundary train_loss=0.114 train_acc=0.967 eval_loss=0.075 eval_acc=0.975 elapsed=130
ep=8 phase=boundary train_loss=0.111 train_acc=0.967 eval_loss=0.073 eval_acc=0.975 elapsed=130
ep=9 phase=boundary train_loss=0.109 train_acc=0.968 eval_loss=0.072 eval_acc=0.976 elapsed=130
ep=10 phase=boundary train_loss=0.107 train_acc=0.968 eval_loss=0.070 eval_acc=0.976 elapsed=131
ep=11 phase=boundary train_loss=0.106 train_acc=0.968 eval_loss=0.069 eval_acc=0.977 elapsed=130
ep=12 phase=boundary train_loss=0.105 train_acc=0.969 eval_loss=0.069 eval_acc=0.977 elapsed=130
ep=13 phase=boundary train_loss=0.103 train_acc=0.969 eval_loss=0.068 eval_acc=0.977 elapsed=130
ep=14 phase=boundary train_loss=0.102 train_acc=0.969 eval_loss=0.067 eval_acc=0.977 elapsed=131
ep=15 phase=boundary train_loss=0.101 train_acc=0.969 eval_loss=0.067 eval_acc=0.977 elapsed=131
ep=16 phase=boundary train_loss=0.100 train_acc=0.969 eval_loss=0.066 eval_acc=0.977 elapsed=130
ep=17 phase=boundary train_loss=0.100 train_acc=0.970 eval_loss=0.065 eval_acc=0.978 elapsed=130
ep=18 phase=boundary train_loss=0.099 train_acc=0.970 eval_loss=0.065 eval_acc=0.977 elapsed=130
ep=19 phase=boundary train_loss=0.099 train_acc=0.970 eval_loss=0.065 eval_acc=0.978 elapsed=129
ep=20 phase=boundary train_loss=0.098 train_acc=0.970 eval_loss=0.064 eval_acc=0.978 elapsed=130
ep=21 phase=boundary train_loss=0.097 train_acc=0.970 eval_loss=0.064 eval_acc=0.978 elapsed=131
ep=22 phase=boundary train_loss=0.096 train_acc=0.970 eval_loss=0.063 eval_acc=0.978 elapsed=130
ep=23 phase=boundary train_loss=0.096 train_acc=0.970 eval_loss=0.063 eval_acc=0.978 elapsed=130
ep=24 phase=boundary train_loss=0.096 train_acc=0.971 eval_loss=0.062 eval_acc=0.978 elapsed=130
ep=25 phase=boundary train_loss=0.095 train_acc=0.971 eval_loss=0.062 eval_acc=0.978 elapsed=130
ep=26 phase=boundary train_loss=0.095 train_acc=0.971 eval_loss=0.062 eval_acc=0.978 elapsed=130
ep=27 phase=boundary train_loss=0.094 train_acc=0.971 eval_loss=0.062 eval_acc=0.978 elapsed=130
ep=28 phase=boundary train_loss=0.094 train_acc=0.971 eval_loss=0.062 eval_acc=0.979 elapsed=131
ep=29 phase=boundary train_loss=0.093 train_acc=0.971 eval_loss=0.062 eval_acc=0.979 elapsed=130
ep=30 phase=boundary train_loss=0.093 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=130
ep=31 phase=boundary train_loss=0.093 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=131
ep=32 phase=boundary train_loss=0.092 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=130
ep=33 phase=boundary train_loss=0.092 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=131
ep=34 phase=boundary train_loss=0.092 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=130
ep=35 phase=boundary train_loss=0.091 train_acc=0.971 eval_loss=0.061 eval_acc=0.979 elapsed=131
ep=36 phase=boundary train_loss=0.091 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=37 phase=boundary train_loss=0.091 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=38 phase=boundary train_loss=0.091 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=131
ep=39 phase=boundary train_loss=0.090 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=40 phase=boundary train_loss=0.090 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=41 phase=boundary train_loss=0.090 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=42 phase=boundary train_loss=0.090 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=131
ep=43 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.060 eval_acc=0.979 elapsed=130
ep=44 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=45 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=46 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=47 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=129
ep=48 phase=boundary train_loss=0.089 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=131
ep=49 phase=boundary train_loss=0.088 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=50 phase=boundary train_loss=0.088 train_acc=0.972 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=51 phase=boundary train_loss=0.088 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=52 phase=boundary train_loss=0.088 train_acc=0.972 eval_loss=0.059 eval_acc=0.980 elapsed=130
ep=53 phase=boundary train_loss=0.088 train_acc=0.972 eval_loss=0.059 eval_acc=0.979 elapsed=130
ep=54 phase=boundary train_loss=0.087 train_acc=0.972 eval_loss=0.059 eval_acc=0.980 elapsed=130
